seed,turn,greedy_step,phase,pool_active,best_die,fatigue_before,energy_budget,energy_used_before,energy_remaining_before,candidate,category,energy_cost,rpe,rpe_max,ctl_gain,quality_gain,legal,illegal_reason,excluded_only_by_rpe,delta_energy_term,delta_quality_term,delta_rpe_term,delta_fatigue_term,marginal_utility,decomposition_residual,utility_before,utility_after,projected_spend,projected_offset,projected_q,projected_q_delta,projected_s,projected_s_delta,projected_recovery,projected_recovery_delta,projected_fatigue_raw,projected_fatigue_final,projected_overtraining,distance_to_ot,bust_probability,rank,selected,decision,stop_reason,available_count,pool_permanent,cumulative_ctl_before,quality_total_before,completions_before,rpe_counterfactual_competitive,rpe_counterfactual_first,rpe_counterfactual_rank
1,16,2,long_run_sl,8-8-8-8-6-6,8,-8,23,5,18,SL8,SL,8,8,7,8,1,False,rpe_max,True,1.0434782608695652,1.5,0.053571428571428575,0.0,2.597049689440994,0.0,2.830745341614907,5.427795031055901,13,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,234,22,"{""EF2"": 9, ""EF3"": 3, ""EF4"": 10, ""EF5"": 11, ""SL5"": 2, ""SL6"": 4, ""SL7"": 3, ""SL8"": 2, ""Seuil3"": 3, ""Seuil4"": 8}",True,True,2
1,16,2,long_run_sl,8-8-8-8-6-6,8,-8,23,5,18,SL9,SL,9,9,7,9,1,False,rpe_max,True,1.173913043478261,1.5,0.07142857142857142,0.0,2.7453416149068324,0.0,2.830745341614907,5.576086956521739,14,-11,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,234,22,"{""EF2"": 9, ""EF3"": 3, ""EF4"": 10, ""EF5"": 11, ""SL5"": 2, ""SL6"": 4, ""SL7"": 3, ""SL8"": 2, ""Seuil3"": 3, ""Seuil4"": 8}",True,True,1
2,9,2,long_run_sl,8-8-8-6-6,8,-8,17,5,12,SL7,SL,7,7,6,7,1,False,rpe_max,True,1.2352941176470589,1.5,0.04166666666666666,-0.75,2.026960784313725,-4.440892098500626e-16,3.090686274509804,5.117647058823529,12,-9,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,13,8-8-8-6-6,94,12,"{""EF1"": 1, ""EF2"": 3, ""EF3"": 4, ""EF4"": 2, ""EF5"": 4, ""SL5"": 2, ""SL6"": 2, ""Seuil3"": 7, ""Seuil4"": 1}",False,False,3
2,14,2,long_run_sl,8-8-8-8-6-6,8,-8,25,5,20,SL9,SL,9,9,8,9,1,False,rpe_max,True,1.08,1.5,0.0625,0.0,2.6424999999999996,-4.440892098500626e-16,2.75625,5.39875,14,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,179,21,"{""EF1"": 1, ""EF2"": 7, ""EF3"": 4, ""EF4"": 2, ""EF5"": 9, ""SL5"": 2, ""SL6"": 3, ""SL7"": 2, ""SL8"": 2, ""Seuil3"": 7, ""Seuil4"": 5}",True,True,1
2,15,2,long_run_sl,8-8-8-8-6-6,8,-8,25,5,20,SL8,SL,8,8,7,8,1,False,rpe_max,True,0.96,1.5,0.053571428571428575,0.0,2.513571428571429,4.440892098500626e-16,2.7785714285714285,5.292142857142857,13,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,198,23,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 4, ""EF4"": 2, ""EF5"": 10, ""SL5"": 2, ""SL6"": 3, ""SL7"": 2, ""SL8"": 3, ""Seuil3"": 7, ""Seuil4"": 6}",True,True,2
2,15,2,long_run_sl,8-8-8-8-6-6,8,-8,25,5,20,SL9,SL,9,9,7,9,1,False,rpe_max,True,1.08,1.5,0.07142857142857142,0.0,2.6514285714285712,-4.440892098500626e-16,2.7785714285714285,5.43,14,-11,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,198,23,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 4, ""EF4"": 2, ""EF5"": 10, ""SL5"": 2, ""SL6"": 3, ""SL7"": 2, ""SL8"": 3, ""Seuil3"": 7, ""Seuil4"": 6}",True,True,1
2,16,2,long_run_sl,8-8-8-8-6-6,8,-8,24,5,19,SL7,SL,7,7,6,7,1,False,rpe_max,True,0.875,1.5,0.04166666666666666,0.0,2.4166666666666665,0.0,2.8333333333333335,5.25,12,-13,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,217,25,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 5, ""EF4"": 2, ""EF5"": 11, ""SL5"": 2, ""SL6"": 3, ""SL7"": 3, ""SL8"": 3, ""Seuil3"": 7, ""Seuil4"": 7}",True,True,3
2,16,2,long_run_sl,8-8-8-8-6-6,8,-8,24,5,19,SL8,SL,8,8,6,8,1,False,rpe_max,True,1.0,1.5,0.06249999999999997,0.0,2.5625000000000004,4.440892098500626e-16,2.8333333333333335,5.395833333333333,13,-12,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,217,25,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 5, ""EF4"": 2, ""EF5"": 11, ""SL5"": 2, ""SL6"": 3, ""SL7"": 3, ""SL8"": 3, ""Seuil3"": 7, ""Seuil4"": 7}",True,True,2
2,16,2,long_run_sl,8-8-8-8-6-6,8,-8,24,5,19,SL9,SL,9,9,6,9,1,False,rpe_max,True,1.125,1.5,0.08333333333333334,0.0,2.7083333333333326,-8.881784197001252e-16,2.8333333333333335,5.541666666666667,14,-11,0,0,3,3,-4,0,-9,-8,False,16,0.375,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,217,25,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 5, ""EF4"": 2, ""EF5"": 11, ""SL5"": 2, ""SL6"": 3, ""SL7"": 3, ""SL8"": 3, ""Seuil3"": 7, ""Seuil4"": 7}",True,True,1
3,11,2,long_run_sl,8-8-8-6-6-6,8,-8,23,5,18,SL8,SL,8,8,7,8,1,False,rpe_max,True,1.0434782608695652,1.5,0.053571428571428575,0.0,2.597049689440994,0.0,2.830745341614907,5.427795031055901,13,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-6-6-6,119,13,"{""EF1"": 2, ""EF2"": 4, ""EF3"": 4, ""EF4"": 2, ""EF5"": 6, ""SL5"": 2, ""SL6"": 2, ""SL7"": 2, ""Seuil3"": 5, ""Seuil4"": 2}",True,True,1
